id,lat,lng,barangay,address,alarm_level,reported_at,resolved_at,duration_minutes,casualties,injuries,estimated_damage,cause,actions_taken,reported_by,verified_by,attachments,type_of_occupancy
"bb9fe933-ab70-4564-b5bb-f711565452d1",14.5794,121.0359,"Hulo","#143 ROCES ST., CORONADO HULO, M.C.","FOUA","""2015-11-08T00:00:00.000Z""","""2015-11-08T00:00:00.000Z""",,0,0,"0","ELECTRICAL",,,,,"POST FIRE"
"59a45dc4-e4ef-4dca-babc-a63313bfbf4b",14.5794,121.0359,"Barangka Ilaya","BARANGKA ILAYA, M.C.","FOUA","""2015-11-10T00:00:00.000Z""","""2015-11-10T00:00:00.000Z""",,0,0,"500","ELECTRICAL",,,,,"POST FIRE"
"df19c5c6-b7b4-40e1-90da-83554b390940",14.5794,121.0359,"Plainview","MAYSILO CIRCLE BRGY. PLAINVIEW, M.C.",,"""2015-11-15T00:00:00.000Z""","""2015-11-15T00:00:00.000Z""",,0,0,"0",,,,,,
"4094f0ff-436c-41ed-ac66-db521929c6fe",14.5794,121.0359,"Mauway","BARANGAY MAUWAY, M.C.","FOUA","""2015-11-20T00:00:00.000Z""","""2015-11-20T00:00:00.000Z""",,0,0,"300","RUBBISH",,,,,
"0f29a7f2-4351-4203-8a3b-b9209d4ef3a9",14.5794,121.0359,"Highway Hills","CALBAYOG ST.,COR. DM GUEVARRA, LIBERTAD HI-WAY HILLS","FOUA","""2015-11-23T00:00:00.000Z""","""2015-11-23T00:00:00.000Z""",,0,0,"500","ELECTRICAL",,,,,"POST FIRE"
"7c398c6a-621d-4ec0-bd26-1172f7fcb8e3",14.5794,121.0359,"Addition Hills","BLK 23 WELFAREVILLE COMP.BRGY. ADD. HILLS, M.C.",,"""2015-11-25T00:00:00.000Z""","""2015-11-25T00:00:00.000Z""",,0,0,"0",,,,,,
"e1f42883-60c5-4ca0-ad45-169a13e7547a",14.5794,121.0359,"Addition Hills","BARANGAY ADDITION HILLS,","FOUA","""2015-11-26T00:00:00.000Z""","""2015-11-26T00:00:00.000Z""",,0,0,"300","RUBBISH",,,,,
"e2eab378-1ec6-4e75-bec2-f5b993329f12",14.5794,121.0359,"Addition Hills","BLK22 MOLAVE ST., BRGY. ADD.HILLS, M.C.",,"""2015-11-26T00:00:00.000Z""","""2015-11-26T00:00:00.000Z""",,0,0,"0",,,,,,
"0f28d01c-3ec6-4736-8e23-03000932f5bb",14.5794,121.0359,"Plainview","#28C SAN PEDRO BRGY. PLAINVIEW, M.C.","FOUA","""2015-11-30T00:00:00.000Z""","""2015-11-30T00:00:00.000Z""",,0,0,"1500","STRUCTURAL",,,,,"RESIDENTIAL"
"ad0751cb-3659-4200-8492-f276084a14f4",14.5794,121.0359,"Pag-asa","842 INOCENTTES ST. BRGY PAG-ASA M.C","FOUA","""2015-12-04T00:00:00.000Z""","""2015-12-04T00:00:00.000Z""",,0,0,"2000","STRUCTURAL",,,,,"RESIDENTIAL"
"77913d12-50bf-48b2-851d-df063655eac4",14.5794,121.0359,"Highway Hills","WENDYS RESTAURANT STO CRISTO ST. HIGHWAY HILLS","FOUA","""2015-12-07T00:00:00.000Z""","""2015-12-07T00:00:00.000Z""",,0,0,"50000","STRUCTURAL",,,,,"MERCANTILE"
"19c32887-9a8d-46aa-a897-bb6db591e5df",14.5794,121.0359,"Addition Hills","818 FABELLA ROAD ADDITION HILLS","FOUA","""2015-12-10T00:00:00.000Z""","""2015-12-10T00:00:00.000Z""",,0,0,"300","RUBBISH",,,,,
"993a36b6-7627-492b-9f8e-a5f3a4a201f3",14.5794,121.0359,"Mauway","LOT 11 SINAG COMPOUND MAUWAT M.C",,"""2015-12-11T00:00:00.000Z""","""2015-12-11T00:00:00.000Z""",,0,0,"0",,,,,,
"a536daf6-fe8f-4c37-a599-8efadad0c5f0",14.5794,121.0359,"Plainview","869 KASIPAGAN ST. PLAINVIEW","FOUA","""2015-12-13T00:00:00.000Z""","""2015-12-13T00:00:00.000Z""",,0,0,"300","RUBBISH",,,,,
"680e44a0-30b4-4f86-9f3e-b79eface0e3e",14.5794,121.0359,"Wack-wack Greenhills","TMR SHAW BOULEVARD PIONEER EDSA WACK WACK","FOUA","""2015-12-16T00:00:00.000Z""","""2015-12-16T00:00:00.000Z""",,0,0,"500","ELECTRICAL",,,,,
"c8d46804-cebd-46e0-b779-af0e30377f8f",14.5794,121.0359,"Addition Hills","BLOCK 32 MOLAVE ST. BRGY. ADDITION HILLS","FOUA","""2015-12-17T00:00:00.000Z""","""2015-12-17T00:00:00.000Z""",,0,0,"500","STRUCTURAL",,,,,"RESIDENTIAL"
"20cfb5a6-b895-4dab-b981-cbe63db94d7c",14.5794,121.0359,"Bagong Silang","BAGONG SILANG INFRONT OF CITY RESEDENCE","FOUA","""2015-12-19T00:00:00.000Z""","""2015-12-19T00:00:00.000Z""",,0,0,"1000","ELECTRICAL",,,,,"POST FIRE"
"c7f8ca84-147e-4dca-a61c-e90a5407a83d",14.5794,121.0359,"San Jose","F CRUZ ST. SAN JOSE M.C","FOUA","""2015-12-19T00:00:00.000Z""","""2015-12-19T00:00:00.000Z""",,0,0,"500","ELECTRICAL",,,,,"POST FIRE"
"4d11d2f3-4095-4fdc-a18b-d84dc03da232",14.5794,121.0359,"Mabini J. Rizal","NAMEI INTEGRATED HIGH SCHOOL",,"""2015-12-20T00:00:00.000Z""","""2015-12-20T00:00:00.000Z""",,0,0,"0",,,,,,
"43d0e2d2-a0b7-417f-bb88-1e46e757ab6c",14.5794,121.0359,"Pag-asa","MARKET PLACE PAGASA","FOUA","""2015-12-21T00:00:00.000Z""","""2015-12-21T00:00:00.000Z""",,0,0,"300","ELECTRICAL",,,,,"BUSINESS"
"fed13c1a-29d6-44e1-b9b9-00a27fe7821c",14.5794,121.0359,"Barangka Itaas","BRGY BARANGKA ITAAS","FOUA","""2015-12-22T00:00:00.000Z""","""2015-12-22T00:00:00.000Z""",,0,0,"1000","STRUCTURAL",,,,,"RESIDENTIAL"
"b41e02d9-cc86-4eb4-a2e2-a8ea21d33ee3",14.5794,121.0359,"Pag-asa","835 DE AGUSTO PAG ASA","FOUA","""2015-12-30T00:00:00.000Z""","""2015-12-30T00:00:00.000Z""",,0,0,"1500","ELECTRICAL",,,,,"RESIDENTIAL"
"a2d2e440-4df8-4e0c-9642-e59ee70b97a3",14.5794,121.0359,"New Zaniga","379 F ORTIGAS ST. NEW ZANIGA","2ND ALARM","""2015-12-31T00:00:00.000Z""","""2015-12-31T00:00:00.000Z""",,0,0,"200000","STRUCTURAL",,,,,"RESIDENTIAL"
"24bd0415-60a9-4b39-b922-5b7489f11774",14.5794,121.0359,"New Zaniga","379 F. ORTIGAS, BRGY. NEW ZANIGA, MANDALUYONG CITY","FOUA","""2016-01-01T00:00:00.000Z""","""2016-01-01T00:00:00.000Z""",,0,0,"500","STRUCTURAL",,,,,"RESIDENTIAL"
"84f915a9-23ac-45ce-b1c8-9c815bcf31c8",14.5794,121.0359,"Addition Hills","BLK. 35, BRGY. ADDITION HILLS, MANDALUYONG CITY","FOUA","""2016-01-01T00:00:00.000Z""","""2016-01-01T00:00:00.000Z""",,0,0,"1000","STRUCTURAL",,,,,"RESIDENTIAL"
"d0b4a387-a110-4307-b0f3-abda3aa9bb6c",14.5794,121.0359,"Highway Hills","CALBAYOG NEAR ROBINSONS, BRGY. HIGHWAY HILLS, MAND.","FOUA","""2016-01-02T00:00:00.000Z""","""2016-01-02T00:00:00.000Z""",,0,0,"500","STRUCTURAL",,,,,"RESIDENTIAL"
"78db27ed-97dd-4e89-9ddf-dbad5725155c",14.5794,121.0359,"Addition Hills","BLK. 6, BRGY. ADDITION HILLS, MANDALUYONG CITY","FOUA","""2016-01-04T00:00:00.000Z""","""2016-01-04T00:00:00.000Z""",,0,0,"500","STRUCTURAL",,,,,"RESIDENTIAL"
"f8958846-f727-459a-9010-f6e32013ce72",14.5794,121.0359,"Malamig","MAKILING BGY MALAMIG","FOUA","""2016-01-04T00:00:00.000Z""","""2016-01-04T00:00:00.000Z""",,0,0,"1000","STRUCTURAL",,,,,"RESIDENTIAL"
"95166e40-a531-456a-b8b1-d72020eb03b6",14.5794,121.0359,"Wack-wack Greenhills","EDSA SHANGRILA HOTEL BRGY. WACK-WACK, MANDALUYONG CITY",,"""2016-01-04T00:00:00.000Z""","""2016-01-04T00:00:00.000Z""",,0,0,"0",,,,,,
"24bdf2d6-9577-40c0-b42c-d50b97519b4b",14.5794,121.0359,"San Jose","P. CRUZ, SAN JOSE, MANDALUYONG CITY","FOUA","""2016-01-06T00:00:00.000Z""","""2016-01-06T00:00:00.000Z""",,0,0,"1000","STRUCTURAL",,,,,"RESIDENTIAL"
"04befd40-ef55-4fee-89b9-c7004819a315",14.5794,121.0359,"Highway Hills","338 ANTIPOLO ST. CALBAYOG, BRGY. HIGHWAY HILLS, MAND.","FOUA","""2016-01-07T00:00:00.000Z""","""2016-01-07T00:00:00.000Z""",,0,0,"500","POST FIRE",,,,,"NON-STRUCTURAL"
"87149fea-1410-4cd2-940d-b5038c38de74",14.5794,121.0359,"Barangka Ibaba","BARANGKA IBABA, MANDALUYONG CITY","FOUA","""2016-01-07T00:00:00.000Z""","""2016-01-07T00:00:00.000Z""",,0,0,"300","POST FIRE",,,,,"NON-STRUCTURAL"
"c6f41683-5c1b-4bf2-8361-8704d84ab41c",14.5794,121.0359,"Addition Hills","MARTINEZ ST., ADDITION HILLS, MANDALUYONG CITY","FOUA","""2016-01-12T00:00:00.000Z""","""2016-01-12T00:00:00.000Z""",,0,0,"1000","STRUCTURAL",,,,,"RESIDENTIAL"
"8983b667-c9f4-43d9-9c78-211a191fc59b",14.5794,121.0359,"Addition Hills","WATSONS STALL SHAW CENTER MALL, ADDITION HILLS, MAND.","FOUA","""2016-01-22T00:00:00.000Z""","""2016-01-22T00:00:00.000Z""",,0,0,"50000","STRUCTURAL",,,,,"MERCANTILE"
"55acc0cd-f833-4dca-b120-22292e5ffa38",14.5794,121.0359,"Barangka Itaas","PANTALEON ST., BARANGKA ITAAS, MANDALUYONG CITY","4TH ALARM","""2016-01-22T00:00:00.000Z""","""2016-01-22T00:00:00.000Z""",,0,0,"250000","STRUCTURAL",,,,,"RESIDENTIAL"
"681da59a-181e-4a24-9ee1-2151b7761741",14.5794,121.0359,"Addition Hills","BLK. 41 CORRECTIONAL ROAD, BRGY. ADDITION HILLS, MAND.","TFC","""2016-01-22T00:00:00.000Z""","""2016-01-22T00:00:00.000Z""",,0,0,"2000000","STRUCTURAL",,,,,"RESIDENTIAL"
"790ec27e-5fd8-4ad5-b811-64feee070efa",14.5794,121.0359,"Plainview","BLK. 37 FABELLA ST., PLAINVIEW, MANDALUYONG CITY","FOUA","""2016-01-25T00:00:00.000Z""","""2016-01-25T00:00:00.000Z""",,0,0,"2000","STRUCTURAL",,,,,"RESIDENTIAL"
"05da3064-64d5-4da0-b833-ef1358299004",14.5794,121.0359,"Addition Hills","BLK. 19, ADDITION HILLS, MANDALUYONG CITY","FOUA","""2016-01-25T00:00:00.000Z""","""2016-01-25T00:00:00.000Z""",,0,0,"1000","STRUCTURAL",,,,,"RESIDENTIAL"
"f55870e5-6cb8-4487-aa6c-94d07674888b",14.5794,121.0359,"Hulo","PROJECT AQUA BLDG., BRGY. HULO, MANDALUYONG","FOUA","""2016-01-26T00:00:00.000Z""","""2016-01-26T00:00:00.000Z""",,0,0,"500","RUBBISH",,,,,"NON-STRUCTURAL"
"5235d4e8-16f6-40d8-a99d-2468aa41db0f",14.5794,121.0359,"Pleasant Hills","BRGY. PLEASANT HILLS, MANDALUYONG CITY","FOUA","""2016-01-29T00:00:00.000Z""","""2016-01-29T00:00:00.000Z""",,0,0,"15000","VEHICULAR",,,,,"TRANSPORT"
"c4f2e101-9a22-4dbf-b1f5-392afba0527d",14.5794,121.0359,"Barangka Drive","BARANGKA DRIVE, FABELLA, MANDALUYONG CITY","FOUA","""2016-01-29T00:00:00.000Z""","""2016-01-29T00:00:00.000Z""",,0,0,"1000","SERVICE WIRE",,,,,"NON-STRUCTURAL"
"b114c8c8-e54a-4f03-a7ef-a6b367959952",14.5794,121.0359,"Plainview","4226 BULALAKAW ST., BRGY. PLAINVIEW, MANDALUYONG CITY","1ST ALARM","""2016-01-29T00:00:00.000Z""","""2016-01-29T00:00:00.000Z""",,0,0,"10000","STRUCTURAL",,,,,"WAREHOUSE"
"b524002f-eedc-4617-9409-d7e406aa8acf",14.5794,121.0359,"Mauway","NCMH COMPOUND BRGY. MAUWAY","FOUA","""2016-02-04T00:00:00.000Z""","""2016-02-04T00:00:00.000Z""",,0,0,"200","RUBBISH",,,,,"HEALTH CARE"
"4519dfa9-157a-4f1f-8f7d-a870d15c292c",14.5794,121.0359,"Buayang Bato","BUAYANG BATO","FOUA","""2016-02-04T00:00:00.000Z""","""2016-02-04T00:00:00.000Z""",,0,0,"300","RUBBISH FIRE",,,,,
"c295b259-9a75-4d5c-8ca0-5064ab78cf38",14.5794,121.0359,"Wack-wack Greenhills","EDSA NORTH BOUND BRGY WACK WACK","FOUA","""2016-02-06T00:00:00.000Z""","""2016-02-06T00:00:00.000Z""",,0,0,"100000","VEHICULAR",,,,,
"debea323-b012-4215-ab36-7bf5b22b2e07",14.5794,121.0359,"Addition Hills","BLK 34 WELFAREVILE COMPOUND BRGY. ADDITION HILLS","FOUA","""2016-02-13T00:00:00.000Z""","""2016-02-13T00:00:00.000Z""",,0,0,"1000","STRUCTURAL",,,,,"RESIDENTIAL"
"47e478cd-f78d-4775-bb0f-34141b1c4cf2",14.5794,121.0359,"Hulo","TIVOLI GARDEN CORONADO ST. BRGY HULO","FOUA","""2016-02-16T00:00:00.000Z""","""2016-02-16T00:00:00.000Z""",,0,0,"1000","RUBBISH",,,,,"RESIDENTIAL"
"fdd7a574-21d3-4513-90fb-0d39a26a4a37",14.5794,121.0359,"Mauway","SINAG ST. ISLA DE COCONO BARANGAY MAUWAY","FOUA","""2016-02-17T00:00:00.000Z""","""2016-02-17T00:00:00.000Z""",,0,0,"1000","STRUCTURAL",,,,,"RESIDENTIAL"
"49f717a3-a5d4-4dc6-9c55-80d8c6d0ff6f",14.5794,121.0359,"Vergara","BACKSIDE BRGY. VERGARA","FOUA","""2016-02-25T00:00:00.000Z""","""2016-02-25T00:00:00.000Z""",,0,0,"5000","STRUCTURAL",,,,,"RESIDENTIAL"
"5f99132e-354a-480c-a881-92352f8f475f",14.5794,121.0359,"Highway Hills","BERMUDA HOTEL & RESSULTAN ST. BRGY HIGHWAY HILLS","2ND ALARM","""2016-02-26T00:00:00.000Z""","""2016-02-26T00:00:00.000Z""",,0,0,"500000","STRUCTURAL",,,,,"RESIDENTIAL"
"8ca238e3-a9f4-4bbb-ba64-fe9a0c545a5f",14.5794,121.0359,"Addition Hills","GARDEN HEIGHTS CONDOMINIUM BRGY HIGH WAY HILLS","FOUA","""2016-02-26T00:00:00.000Z""","""2016-02-26T00:00:00.000Z""",,0,0,"2000","STRUCTURAL",,,,,"RESIDENTIAL"
"2dda42f0-2d3b-4b40-ab57-0d9af448fd19",14.5794,121.0359,"Malamig","TABANG ST. BRGY MALAMIG","FOUA","""2016-02-29T00:00:00.000Z""","""2016-02-29T00:00:00.000Z""",,0,0,"1000","VEHICULAR",,,,,
"8d94eac3-4fd6-4d2a-9725-b246d0e29225",14.5794,121.0359,"Mauway","PUROK 2 BRGY MAUWAY MANDALUYONG CITY","FOUA","""2016-03-02T00:00:00.000Z""","""2016-03-02T00:00:00.000Z""",,0,0,"200","RUBBISH FIRE",,,,,
"094d8356-220e-46d4-b195-95f2c4db3e6a",14.5794,121.0359,"Plainview","CHEKWA RESTAURANT SAN RAFAEL ST. BRGY PLAINVIEW","1ST ALARM","""2016-03-03T00:00:00.000Z""","""2016-03-03T00:00:00.000Z""",,0,0,"10000","STRUCTURAL",,,,,"MERCANTILE"
"3cc5f59a-6236-402b-bc31-3a5d82734ce0",14.5794,121.0359,"Mauway","NCMH COMPOUND PAV. 6 BRGY. MAUWAY M.C","FOUA","""2016-03-05T00:00:00.000Z""","""2016-03-05T00:00:00.000Z""",,0,0,"200","GRASS FIRE",,,,,
"d6cd2e2d-9b33-4287-9870-93d4858cb298",14.5794,121.0359,"Pleasant Hills","500 SHAW BLVD. SHAKEYS PLEASANT HILLS M.C","FOUA","""2016-03-09T00:00:00.000Z""","""2016-03-09T00:00:00.000Z""",,0,0,"10000","STRUCTURAL",,,,,"PLACE OF ASSEMBLY"
"9c9ed466-d016-40e4-bf6e-42651e033946",14.5794,121.0359,"Plainview","SAN FRANCISCO ST. BARANGAY PLAINVIEW M.C","FOUA","""2016-03-10T00:00:00.000Z""","""2016-03-10T00:00:00.000Z""",,0,0,"1000","ELECTRICAL",,,,,
"0dcc1dac-877c-4b7f-9147-1ec7f9c3ba85",14.5794,121.0359,"Malamig","SIKAP COR TANGLAW BRGY. MALAMIG","FOUA","""2016-03-13T00:00:00.000Z""","""2016-03-13T00:00:00.000Z""",,0,0,"1000","STRUCTURAL",,,,,"RESIDENTIAL"
"593d8553-4c71-4cea-8c75-c0009619bc30",14.5794,121.0359,"Highway Hills","EDSA COR RELIANCE RICOA BRGY. HIGHWAY HILLS","FOUA","""2016-03-14T00:00:00.000Z""","""2016-03-14T00:00:00.000Z""",,0,0,"1000","ELECTRICAL",,,,,
"9699842a-dd07-4d9b-80eb-02ca465e9d66",14.5794,121.0359,"Hulo","AQUA BLDG BRGY HULO MANDALUYONG CITY","FOUA","""2016-03-18T00:00:00.000Z""","""2016-03-18T00:00:00.000Z""",,0,0,"1000","STRUCTURAL",,,,,"RESIDENTIAL"
"4139be80-6df5-4110-801d-dc602ca7cfbc",14.5794,121.0359,"Wack-wack Greenhills","COLUMBIA TOWER ORTIGAS WACK WACK M.C","FOUA","""2016-03-20T00:00:00.000Z""","""2016-03-20T00:00:00.000Z""",,0,0,"10000","VEHICULAR",,,,,
"b0b86ba4-b948-47ee-b6eb-224f293f2a89",14.5794,121.0359,"Addition Hills","MAYFLOWER COR RELIANCE BRGY HIGH WAY HILLS","4TH ALARM","""2016-03-22T00:00:00.000Z""","""2016-03-22T00:00:00.000Z""",,0,0,"1000000","STRUCTURAL",,,,,"RESIDENTIAL"
"9987fa6c-eca8-4299-8984-54522592e405",14.5794,121.0359,"Malamig","ARAYAT COR TALUMPONG BRGY MALAMIG MANDALUYONG C","1ST ALARM","""2016-03-26T00:00:00.000Z""","""2016-03-26T00:00:00.000Z""",,0,0,"10000","STRUCTURAL",,,,,"RESIDENTIAL"
"906879c0-0491-4863-80f9-e40d8e294b41",14.5794,121.0359,"Plainview","STO ROSARIO BRGY PLAINVIEW MC","FOUA","""2016-03-30T00:00:00.000Z""","""2016-03-30T00:00:00.000Z""",,0,0,"1000","ELECTRICAL",,,,,
"693f1e2b-3f1d-437a-9d8f-99a1e3165184",14.5794,121.0359,"Poblacion","STAR ST. COR. SUNDAY POBLACION","FOUA","""2016-04-13T00:00:00.000Z""","""2016-04-13T00:00:00.000Z""",,0,0,"500","POST FIRE",,,,,
"f8d802c1-de15-4a1e-b280-7cf18c18ce47",14.5794,121.0359,"Poblacion","31F A.T. REYES, POBLACION","FOUA","""2016-04-13T00:00:00.000Z""","""2016-04-13T00:00:00.000Z""",,0,0,"1000","STRUCTURAL",,,,,"RESIDENTIAL"
"f9aef3b2-2968-4f3c-b53a-39fb8bee0a9e",14.5794,121.0359,"Buayang Bato","ACACIA LANE, HAGDANG BATO LIBIS","FOUA","""2016-04-14T00:00:00.000Z""","""2016-04-14T00:00:00.000Z""",,0,0,"300","ELEC'L FIRE",,,,,
"39f87e11-23fc-4f16-ba74-f4ae6dcb28ff",14.5794,121.0359,"New Zaniga","249 NEW NAG. ST. COR. A. BONIFACIO, BGY HBL","FOUA","""2016-04-14T00:00:00.000Z""","""2016-04-14T00:00:00.000Z""",,0,0,"300","ELEC'L FIRE",,,,,
"e17dbb3e-cbd8-4c0c-a07e-cc61dc94defa",14.5794,121.0359,"Hulo","F. BLUMENTRITT",,"""2016-04-14T00:00:00.000Z""","""2016-04-14T00:00:00.000Z""",,0,0,"0",,,,,,
"e9cb2d88-b522-480c-9b79-9985ea976ee1",14.5794,121.0359,"Hulo","CORONADO ST. BGY HULO","FOUA","""2016-04-15T00:00:00.000Z""","""2016-04-15T00:00:00.000Z""",,0,0,"500","POST FIRE",,,,,
"fe4cfa72-c8dd-4bdc-9851-2aa74ea6f8db",14.5794,121.0359,"Highway Hills","LOPEZ RIZAL ST. COR. SAMAT HI-WAY HILLS","FOUA","""2016-04-25T00:00:00.000Z""","""2016-04-25T00:00:00.000Z""",,0,0,"300","RUBBISH FIRE",,,,,
"15d2fe52-637e-4ae4-962f-89a70a2760f0",14.5794,121.0359,"Mauway","NCMH CMPD",,"""2016-04-25T00:00:00.000Z""","""2016-04-25T00:00:00.000Z""",,0,0,"0",,,,,,
"02144abc-af23-42c4-8a2e-6f26bc726749",14.5794,121.0359,"Poblacion","64D AGLIPAY ST. BGY POBLACION","FOUA","""2016-04-25T00:00:00.000Z""","""2016-04-25T00:00:00.000Z""",,0,0,"1000","STRUCTURAL",,,,,"RESIDENTIAL"
"e66276f2-fb31-4961-ba2a-d0a2f550341d",14.5794,121.0359,"Buayang Bato","#529 DE AGOSTO, BGY HAGDANG BATO LIBIS","1ST ALARM","""2016-04-25T00:00:00.000Z""","""2016-04-25T00:00:00.000Z""",,0,0,"10000","STRUCTURAL",,,,,"RESIDENTIAL"
"e6b0bfd1-0007-48fa-8aae-1bd205d5ea6a",14.5794,121.0359,"Hulo","F. BLUMENTRIT ST., BGY HULO","FOUA","""2016-04-27T00:00:00.000Z""","""2016-04-27T00:00:00.000Z""",,0,0,"1000","STRUCTURAL",,,,,"RESIDENTIAL"
"16df56c9-a9df-41a6-afd9-8aba5e51bed3",14.5794,121.0359,"Poblacion","73 W. G. AGLIPAY ST. POBLACION","FOUA","""2016-04-28T00:00:00.000Z""","""2016-04-28T00:00:00.000Z""",,0,0,"500","POST FIRE",,,,,
"935526ef-bb41-47a3-8b67-913f3d7923c8",14.5794,121.0359,"Pleasant Hills","PLEASANT HILLS","FOUA","""2016-05-01T00:00:00.000Z""","""2016-05-01T00:00:00.000Z""",,0,0,"800","ELECTRICAL FIRE",,,,,"NON-RESIDENTIAL"
"6e7616d5-f5d8-4b09-b252-7af7a498d655",14.5794,121.0359,"Daang Bakal","DAANG BAKAL ST. COR. PVT. RD. TALIPAPA, HULO","2ND ALARM","""2016-05-02T00:00:00.000Z""","""2016-05-02T00:00:00.000Z""",,2,0,"50000","STRUCTURAL",,,,,"RESIDENTIAL"
"1b5c99d5-9f09-411e-832c-3efde8046757",14.5794,121.0359,"Namayan","CASTAÑEDA ST. NEAR GAWAD KALINGA, NAMAYAN","FOUA","""2016-05-07T00:00:00.000Z""","""2016-05-07T00:00:00.000Z""",,0,0,"1500","STRUCTUTAL",,,,,"RESIDENTIAL"
"82ad8c5e-5e76-4fe3-a1fe-04a15babf5b5",14.5794,121.0359,"Plainview","826, FABELLA ST. PLAINVIEW","FOUA","""2016-05-10T00:00:00.000Z""","""2016-05-10T00:00:00.000Z""",,0,0,"700","POST FIRE",,,,,"NON-RESIDENTIAL"
"fdf0b9eb-b6b1-41fe-ab33-8254c0117d64",14.5794,121.0359,"Mauway","NCMH HOUSING, 9 DE PEBRERO, MAUWAY","FOUA","""2016-05-11T00:00:00.000Z""","""2016-05-11T00:00:00.000Z""",,0,0,"1500","STRUCTURAL",,,,,"HEALTH CARE"
"dcbcba16-460c-4352-9a12-42f20aa50444",14.5794,121.0359,"Plainview","KABAN NG HIYAS, CITYHALL COMPLEX, PLAINVIEW","FOUA","""2016-05-11T00:00:00.000Z""","""2016-05-11T00:00:00.000Z""",,0,0,"1200","STRUCTURAL",,,,,"MIXED OCCUPANCY"
